Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00001,Bengaluru,Los Angeles,Sea,Textiles,6940.0,18.22,3137,LCL,102.31,Off_Peak,Carrier_C,5,53590
SHP00002,Bengaluru,Dubai,Road,Furniture,929.0,3.44,6730,40FT_HC,99.11,Normal,Carrier_E,15,94499
SHP00003,Mumbai,Hamburg,Air,Pharmaceuticals,2170.0,7.79,8699,AIR_CARGO,83.66,Normal,Carrier_B,17,209743
SHP00004,Kolkata,London,Sea,Furniture,1444.0,4.2,8016,40FT,110.36,Peak,Carrier_D,16,106793
SHP00005,Chennai,Singapore,Sea,Furniture,8398.0,15.78,3295,LCL,93.43,Normal,Carrier_C,12,52618
SHP00006,Chennai,Colombo,Sea,Textiles,3440.0,6.78,972,AIR_CARGO,80.08,Normal,Carrier_A,4,26526
SHP00007,Kolkata,New York,Sea,Chemicals,4462.0,12.75,3404,20FT,83.52,Normal,Carrier_D,10,45089
SHP00008,Hyderabad,Rotterdam,Road,Machinery,3407.0,4.11,11816,40FT_HC,96.59,Normal,Carrier_B,22,148842
SHP00009,Mumbai,Singapore,Sea,Textiles,3191.0,3.09,2621,LCL,88.54,Peak,Carrier_A,4,43499
SHP00010,Mumbai,Dubai,Air,Food Products,1426.0,2.18,5840,40FT,109.05,Peak,Carrier_B,12,263674
SHP00011,Mumbai,Colombo,Sea,Textiles,1870.0,5.54,7841,20FT,94.79,Normal,Carrier_C,13,69156
SHP00012,Chennai,New York,Road,Food Products,2619.0,0.5,10614,40FT_HC,111.61,Peak,Carrier_D,20,194421
SHP00013,Bengaluru,Dubai,Air,Furniture,1640.0,2.93,9243,LCL,79.07,Normal,Carrier_E,19,190168
SHP00014,Ahmedabad,Rotterdam,Sea,Pharmaceuticals,1455.0,5.54,10953,AIR_CARGO,101.74,Normal,Carrier_C,22,97429
SHP00015,Hyderabad,Jebel Ali,Sea,Textiles,2187.0,8.07,7450,40FT_HC,110.43,Normal,Carrier_C,16,89983
SHP00016,Pune,Hamburg,Sea,Food Products,1687.0,0.5,10451,LCL,86.72,Normal,Carrier_E,22,71311
SHP00017,Mumbai,Jebel Ali,Sea,Textiles,2582.0,7.64,3534,40FT_HC,80.43,Off_Peak,Carrier_E,6,40924
